Date,SP500,FB,Exxon,PG,Apple,Pfizer,Amazon,Salesforce
2015-01-01,1994.98999,75.910004,75.513939,74.019928,109.266068,27.068314,354.529999,56.450001
2015-02-01,2104.5,78.970001,76.481422,75.28894,119.80471,29.727505,380.160004,69.379997
2015-03-01,2067.889893,82.220001,73.976189,72.46772,116.504211,30.400454,372.100006,66.809998
2015-04-01,2085.51001,78.769997,76.038826,70.318634,117.178352,29.648956,421.779999,72.82
2015-05-01,2107.389893,79.190002,74.150253,69.885651,121.981583,30.365501,429.230011,72.75
2015-06-01,2063.110107,85.769997,73.008537,69.751915,117.931068,29.541857,434.089996,69.629997
2015-07-01,2103.840088,94.010002,69.507294,68.37899,114.047997,31.770939,536.150024,73.300003
2015-08-01,1972.180054,89.730003,66.02359,63.51899,106.168999,29.303976,512.890015,69.360001
2015-09-01,1920.030029,89.900002,65.853043,64.660484,104.175049,27.890282,511.890015,69.43
2015-10-01,2079.360107,101.970001,73.28421,68.651215,112.864182,30.030218,625.900024,77.709999
2015-11-01,2080.409912,104.239998,72.327644,67.871529,111.730812,29.097885,664.799988,79.690002
2015-12-01,2043.939941,104.660004,69.643501,72.016006,99.840477,28.894144,675.890015,78.400002
2016-01-01,1940.23999,112.209999,69.554161,74.083717,92.328247,27.291897,587,68.059998
2016-02-01,1932.22998,106.919998,71.60907,73.448631,91.711731,26.557909,552.52002,67.75
2016-03-01,2059.73999,114.099998,75.360321,75.296494,103.939392,26.797787,593.640015,73.830002
2016-04-01,2065.300049,117.580002,79.696762,73.293114,89.396065,29.5734,659.590027,75.800003
2016-05-01,2096.949951,118.809998,80.255722,74.741547,95.232468,31.37258,722.789978,83.709999
2016-06-01,2098.860107,114.279999,85.221298,78.089417,91.72496,32.118748,715.619995,79.410004
2016-07-01,2173.600098,123.940002,80.866577,78.937912,99.98597,33.651253,758.809998,81.800003
2016-08-01,2170.949951,126.120003,79.221069,81.154778,101.799362,31.744749,769.159973,79.419998
2016-09-01,2168.27002,128.270004,80.024986,83.422752,109.055237,31.153223,837.309998,71.330002
2016-10-01,2126.149902,130.990005,76.394165,80.680733,109.527924,29.166479,789.820007,75.160004
2016-11-01,2198.810059,118.419998,80.043335,77.238014,106.614632,29.561987,750.570007,72
2016-12-01,2238.830078,115.050003,83.490082,78.755417,112.30098,29.448084,768.659973,68.459999
2017-01-01,2278.870117,130.320007,77.597862,82.052513,117.662964,29.47595,823.47998,79.099998
2017-02-01,2363.639893,135.539993,75.220627,85.978302,132.827789,31.696173,845.039978,81.349998
2017-03-01,2362.719971,142.050003,76.552551,84.826515,139.899048,32.103546,886.539978,82.489998
2017-04-01,2384.199951,150.25,76.216499,82.447411,139.889297,31.831396,924.98999,86.120003
2017-05-01,2411.800049,151.460007,75.143028,83.801353,148.760788,30.639597,994.619995,89.639999
2017-06-01,2423.409912,150.979996,76.069344,82.907127,140.828522,31.82683,968,86.599998
2017-07-01,2470.300049,169.25,75.419182,86.398445,145.434128,31.419397,987.780029,90.800003
2017-08-01,2471.649902,171.970001,71.923355,88.466095,160.365753,32.139503,980.599976,95.489998
2017-09-01,2519.360107,170.869995,77.995926,87.229279,151.296494,34.15649,961.349976,93.419998
2017-10-01,2575.26001,180.059998,79.299339,82.780571,165.943161,33.544159,1105.280029,102.339996
2017-11-01,2584.840088,177.179993,79.242249,86.926247,168.701691,34.692276,1176.75,107.029999
2017-12-01,2673.610107,176.460007,80.311699,88.751907,166.726913,34.970665,1169.469971,102.230003
2018-01-01,2823.810059,186.889999,83.826057,83.40052,164.953522,35.762379,1450.890015,113.910004
2018-02-01,2713.830078,178.320007,72.726059,76.424629,175.485413,35.05756,1512.449951,116.25
2018-03-01,2640.870117,159.789993,72.373619,77.164345,165.97229,34.583294,1447.339966,116.300003
2018-04-01,2648.050049,172,75.419487,70.409554,163.479431,35.674679,1566.130005,120.989998
2018-05-01,2705.27002,191.779999,78.804878,71.87661,184.856613,35.012051,1629.619995,129.330002
2018-06-01,2718.370117,194.320007,81.063637,76.680168,183.821686,35.698212,1699.800049,136.399994
2018-07-01,2816.290039,172.580002,79.86821,79.450325,188.965622,39.289684,1777.439941,137.149994
2018-08-01,2901.52002,175.729996,78.555199,82.22345,226.045761,40.854187,2012.709961,152.679993
2018-09-01,2913.97998,164.460007,84.166779,82.501007,224.955093,43.732529,2003,159.029999
2018-10-01,2711.73999,151.789993,78.880371,87.903267,218.099014,42.730263,1598.01001,137.240005
2018-11-01,2736.27002,139.529999,78.167595,93.82,192.857086,43.176815,1593.410034,132.550003
2018-11-16,2736.27002,139.529999,78.959999,93.82,193.529999,43.509998,1593.410034,132.550003
