Date,FB,Exxon,PG,Apple,Salesforce
2015-01-01,75.91,75.51,74.02,109.27,56.45
2015-02-01,78.97,78.97,75.29,119.8,69.38
2015-03-01,82.22,82.22,72.47,116.5,66.81
2015-04-01,78.77,78.77,70.32,117.18,72.82
2015-05-01,79.19,79.19,69.89,121.98,72.75
2015-06-01,85.77,85.77,69.75,117.93,69.63
2015-07-01,94.01,94.01,68.38,114.05,73.3
2015-08-01,89.73,89.73,63.52,106.17,69.36
2015-09-01,89.9,89.9,64.66,104.18,69.43
2015-10-01,101.97,101.97,68.65,112.86,77.71
2015-11-01,104.24,104.24,67.87,111.73,79.69
2015-12-01,104.66,104.66,72.02,99.84,78.4
2016-01-01,112.21,112.21,74.08,92.33,68.06
2016-02-01,106.92,106.92,73.45,91.71,67.75
2016-03-01,114.1,114.1,75.3,103.94,73.83
2016-04-01,117.58,117.58,73.29,89.4,75.8
2016-05-01,118.81,118.81,74.74,95.23,83.71
2016-06-01,114.28,114.28,78.09,91.72,79.41
2016-07-01,123.94,123.94,78.94,99.99,81.8
2016-08-01,126.12,126.12,81.15,101.8,79.42
2016-09-01,128.27,128.27,83.42,109.06,71.33
2016-10-01,130.99,130.99,80.68,109.53,75.16
2016-11-01,118.42,118.42,77.24,106.61,72
2016-12-01,115.05,115.05,78.76,112.3,68.46
2017-01-01,130.32,130.32,82.05,117.66,79.1
2017-02-01,135.54,135.54,85.98,132.83,81.35
2017-03-01,142.05,142.05,84.83,139.9,82.49
2017-04-01,150.25,150.25,82.45,139.89,86.12
2017-05-01,151.46,151.46,83.8,148.76,89.64
2017-06-01,150.98,150.98,82.91,140.83,86.6
2017-07-01,169.25,169.25,86.4,145.43,90.8
2017-08-01,171.97,171.97,88.47,160.37,95.49
2017-09-01,170.87,170.87,87.23,151.3,93.42
2017-10-01,180.06,180.06,82.78,165.94,102.34
2017-11-01,177.18,177.18,86.93,168.7,107.03
2017-12-01,176.46,176.46,88.75,166.73,102.23
2018-01-01,186.89,186.89,83.4,164.95,113.91
2018-02-01,178.32,178.32,76.42,175.49,116.25
2018-03-01,159.79,159.79,77.16,165.97,116.3
2018-04-01,172,172,70.41,163.48,120.99
2018-05-01,191.78,191.78,71.88,184.86,129.33
2018-06-01,194.32,194.32,76.68,183.82,136.4
2018-07-01,172.58,172.58,79.45,188.97,137.15
2018-08-01,175.73,175.73,82.22,226.05,152.68
2018-09-01,164.46,164.46,82.5,224.96,159.03
2018-10-01,151.79,151.79,87.9,218.1,137.24
2018-11-01,139.53,139.53,93.82,192.86,132.55
2018-11-16,139.53,139.53,93.82,193.53,132.55
