Date,SP500,FB,Exxon,PG,Apple,Pfizer,Amazon,Salesforce
2015-01-01,0,0,0,0,0,0,0,0
2015-02-01,5,4,1,2,10,10,7,23
2015-03-01,4,8,-2,-2,7,12,5,18
2015-04-01,5,4,1,-5,7,10,19,29
2015-05-01,6,4,-2,-6,12,12,21,29
2015-06-01,3,13,-3,-6,8,9,22,23
2015-07-01,5,24,-8,-8,4,17,51,30
2015-08-01,-1,18,-13,-14,-3,8,45,23
2015-09-01,-4,18,-13,-13,-5,3,44,23
2015-10-01,4,34,-3,-7,3,11,77,38
2015-11-01,4,37,-4,-8,2,7,88,41
2015-12-01,2,38,-8,-3,-9,7,91,39
2016-01-01,-3,48,-8,0,-16,1,66,21
2016-02-01,-3,41,-5,-1,-16,-2,56,20
2016-03-01,3,50,0,2,-5,-1,67,31
2016-04-01,4,55,6,-1,-18,9,86,34
2016-05-01,5,57,6,1,-13,16,104,48
2016-06-01,5,51,13,5,-16,19,102,41
2016-07-01,9,63,7,7,-8,24,114,45
2016-08-01,9,66,5,10,-7,17,117,41
2016-09-01,9,69,6,13,0,15,136,26
2016-10-01,7,73,1,9,0,8,123,33
2016-11-01,10,56,6,4,-2,9,112,28
2016-12-01,12,52,11,6,3,9,117,21
2017-01-01,14,72,3,11,8,9,132,40
2017-02-01,18,79,0,16,22,17,138,44
2017-03-01,18,87,1,15,28,19,150,46
2017-04-01,20,98,1,11,28,18,161,53
2017-05-01,21,100,0,13,36,13,181,59
2017-06-01,21,99,1,12,29,18,173,53
2017-07-01,24,123,0,17,33,16,179,61
2017-08-01,24,127,-5,20,47,19,177,69
2017-09-01,26,125,3,18,38,26,171,65
2017-10-01,29,137,5,12,52,24,212,81
2017-11-01,30,133,5,17,54,28,232,90
2017-12-01,34,132,6,20,53,29,230,81
2018-01-01,42,146,11,13,51,32,309,102
2018-02-01,36,135,-4,3,61,30,327,106
2018-03-01,32,110,-4,4,52,28,308,106
2018-04-01,33,127,0,-5,50,32,342,114
2018-05-01,36,153,4,-3,69,29,360,129
2018-06-01,36,156,7,4,68,32,379,142
2018-07-01,41,127,6,7,73,45,401,143
2018-08-01,45,131,4,11,107,51,468,170
2018-09-01,46,117,11,11,106,62,465,182
2018-10-01,36,100,4,19,100,58,351,143
2018-11-01,37,84,4,27,77,60,349,135
2018-11-16,37,84,5,27,77,61,349,135
